model,slug,creator,creator_country,release_date,reasoning,intelligence_index,coding_index,agentic_index,cost_per_task_usd,suite_cost_usd,price_1m_input_usd,price_1m_output_usd,price_1m_cache_read_usd,price_1m_cache_write_usd,cost_noncache_input_usd,cost_cache_read_usd,cost_cache_write_usd,cost_output_usd,cache_accounting_coherent,tokens_per_task,cache_read_share_of_input,effective_usd_per_m_tokens,context_window_tokens,open_weights,license,openrouter_api_id,gdpval_aa,tau3_banking,terminalbench_v2_1,scicode,hle,gpqa_diamond,critpt,omniscience,aa_lcr
GLM-4.7 (Reasoning),glm-4-7,Z AI,cn,2025-12-22,yes,34.46,45.26,26.22,0.3586,607.19,0.6,2.2,0.6,,0.003732,0.000000,0.301064,0.053758,no,,,,200000,yes,MIT,z-ai/glm-4.7,0.3345,0.1216,0.4532,0.4514,0.2739,0.8586,0.0171,-36.43,0.6800
GLM-5.1 (Reasoning),glm-5-1,Z AI,cn,2026-04-07,yes,40.97,55.78,30.56,0.3042,700.45,1.39,4.4,0.26,,0.008389,0.063408,0.113339,0.119106,yes,358519,0.7358,0.8486,200000,yes,Mit,z-ai/glm-5.1,0.3789,0.1361,0.6180,0.4375,0.3007,0.8677,0.0457,0.85,0.6800
GLM-5.2 (Non-reasoning),glm-5-2-non-reasoning,Z AI,cn,2026-06-16,no,34.81,46.49,35.12,,,1.4,4.4,0.26,,,,,,,,,,1000000,yes,Mit,,0.4467,0.1670,0.5169,0.3611,0.0978,0.6859,0.0314,-6.57,0.4500
GLM-5.2 (max),glm-5-2,Z AI,cn,2026-06-16,yes,52.64,68.76,45.67,0.4445,843.44,1.4,4.4,0.26,,0.009395,0.139637,0.094486,0.201013,yes,656949,0.8786,0.6767,1000000,yes,Mit,z-ai/glm-5.2,0.5028,0.3464,0.7790,0.5046,0.4115,0.8949,0.2086,4.43,0.7667
GLM-5.3 (max),glm-5-3,Z AI,cn,2026-08-18,yes,59.51,74.76,59.10,0.6829,1238.50,1.4,4.4,0.26,,0.009413,0.413985,0.078664,0.180870,yes,1696267,0.9620,0.4026,1000000,no,Mit,z-ai/glm-5.3,0.6345,0.5031,0.8390,0.5648,0.4226,0.9172,0.1914,14.30,0.7633
GPT-5 (high),gpt-5,OpenAI,us,2025-08-07,yes,35.31,37.78,26.53,0.2572,789.34,1.25,10,0.125,,0.007893,0.025903,0.050342,0.173021,yes,271114,0.8164,0.9485,400000,no,,openai/gpt-5,0.2914,0.2206,0.3521,0.4294,0.2850,0.8535,0.0571,-8.73,0.7633
GPT-5.4 (xhigh),gpt-5-4,OpenAI,us,2026-03-05,yes,53.12,71.05,44.17,1.1038,2182.79,2.5,15,0.25,,0.015219,0.165468,0.406816,0.516295,yes,865105,0.7968,1.2759,1050000,no,,openai/gpt-5.4,0.4470,0.3959,0.7828,0.5660,0.4374,0.9202,0.2343,5.78,0.7767
GPT-5.6 Luna (Non-reasoning),gpt-5-6-luna-non-reasoning,OpenAI,us,2026-07-09,no,26.84,39.28,22.22,0.0117,10.21,0.2,1.2,0.02,0.25,0.001223,0.005164,0.002658,0.002686,yes,277201,0.9391,0.0423,1000000,no,,,0.2870,0.0969,0.3895,0.3993,0.0723,0.6455,0.0029,-24.95,0.3867
GPT-5.6 Luna (high),gpt-5-6-luna-high,OpenAI,us,2026-07-09,yes,46.96,63.34,41.03,0.0216,55.02,0.2,1.2,0.02,0.25,0.001228,0.006060,0.003827,0.010472,yes,333168,0.9339,0.0648,1000000,no,,,0.4829,0.2515,0.6966,0.5069,0.3341,0.8919,0.1657,-12.00,0.7400
GPT-5.6 Luna (low),gpt-5-6-luna-low,OpenAI,us,2026-07-09,yes,33.85,44.16,25.68,0.0088,13.74,0.2,1.2,0.02,0.25,0.001223,0.002987,0.001610,0.002974,yes,164406,0.9224,0.0535,1000000,no,,,0.3278,0.1278,0.4345,0.4560,0.1983,0.8354,0.0257,-14.65,0.6533
GPT-5.6 Luna (max),gpt-5-6-luna,OpenAI,us,2026-07-09,yes,52.32,71.45,46.90,0.0471,172.17,0.2,1.2,0.02,0.25,0.001450,0.015035,0.006588,0.024055,yes,805382,0.9572,0.0585,1000000,no,,openai/gpt-5.6-luna,0.5392,0.3113,0.8090,0.5255,0.3948,0.9111,0.2057,-10.28,0.7833
GPT-5.6 Luna (medium),gpt-5-6-luna-medium,OpenAI,us,2026-07-09,yes,38.91,50.73,31.81,0.0113,21.15,0.2,1.2,0.02,0.25,0.001227,0.003118,0.002197,0.004728,yes,174754,0.9127,0.0645,1000000,no,,,0.3874,0.1773,0.5318,0.4583,0.2576,0.8586,0.0486,-13.18,0.7200
GPT-5.6 Luna (xhigh),gpt-5-6-luna-xhigh,OpenAI,us,2026-07-09,yes,50.06,68.60,44.36,0.0316,95.13,0.2,1.2,0.02,0.25,0.001253,0.009386,0.004996,0.016003,yes,508887,0.9470,0.0622,1000000,no,,,0.5129,0.2866,0.7790,0.5000,0.3698,0.8949,0.2057,-10.77,0.7333
GPT-5.6 Sol (Non-reasoning),gpt-5-6-sol-non-reasoning,OpenAI,us,2026-07-09,no,41.88,65.14,36.02,0.2366,239.66,5,30,0.5,6.25,0.030652,0.061957,0.074814,0.069129,yes,144320,0.8725,1.6391,1000000,no,,,0.4394,0.1959,0.7416,0.4711,0.1668,0.7899,0.0514,1.10,0.5700
GPT-5.6 Sol (high),gpt-5-6-sol-high,OpenAI,us,2026-07-09,yes,57.33,77.16,50.57,0.5477,954.95,5,30,0.5,6.25,0.030684,0.170494,0.120192,0.226361,yes,373900,0.9308,1.4649,1000000,no,,,0.5606,0.3670,0.8727,0.5694,0.4601,0.9283,0.2571,20.37,0.7533
GPT-5.6 Sol (low),gpt-5-6-sol-low,OpenAI,us,2026-07-09,yes,50.73,69.67,41.55,0.2311,343.87,5,30,0.5,6.25,0.030584,0.049794,0.065688,0.085034,yes,119050,0.8569,1.9412,1000000,no,,,0.4709,0.2907,0.7678,0.5544,0.3939,0.8980,0.1486,18.87,0.7300
GPT-5.6 Sol (max),gpt-5-6-sol,OpenAI,us,2026-07-09,yes,60.93,77.39,57.78,1.2312,2823.25,5,30,0.5,6.25,0.030774,0.479197,0.214876,0.506364,yes,1015807,0.9594,1.2121,1000000,no,,openai/gpt-5.6-sol,0.6115,0.4433,0.8801,0.5613,0.4949,0.9414,0.3229,21.97,0.7767
GPT-5.6 Sol (medium),gpt-5-6-sol-medium,OpenAI,us,2026-07-09,yes,55.57,76.26,47.89,0.3717,580.17,5,30,0.5,6.25,0.030638,0.097462,0.100827,0.142743,yes,221943,0.8975,1.6746,1000000,no,,,0.5254,0.3649,0.8614,0.5648,0.4222,0.9263,0.2286,19.40,0.7433
GPT-5.6 Sol (xhigh),gpt-5-6-sol-xhigh,OpenAI,us,2026-07-09,yes,59.01,78.35,53.63,0.8072,1525.00,5,30,0.5,6.25,0.031031,0.263317,0.179888,0.332946,yes,572720,0.9377,1.4094,1000000,no,,,0.5895,0.3814,0.8951,0.5602,0.4731,0.9313,0.2857,20.98,0.7633
GPT-5.6 Terra (Non-reasoning),gpt-5-6-terra-non-reasoning,OpenAI,us,2026-07-09,no,34.62,52.31,30.09,0.1025,98.52,2,12,0.2,2.5,0.012238,0.035311,0.026740,0.028250,yes,195722,0.9130,0.5239,1000000,no,,,0.3723,0.1567,0.5618,0.4456,0.1140,0.7465,0.0200,-23.22,0.5500
GPT-5.6 Terra (high),gpt-5-6-terra-high,OpenAI,us,2026-07-09,yes,50.11,67.14,43.46,0.2183,395.38,2,12,0.2,2.5,0.012287,0.060974,0.043192,0.101829,yes,336777,0.9287,0.6481,1000000,no,,,0.5058,0.2866,0.7566,0.5012,0.3851,0.8960,0.2286,-3.47,0.7333
GPT-5.6 Terra (low),gpt-5-6-terra-low,OpenAI,us,2026-07-09,yes,41.30,58.09,31.50,0.0939,130.41,2,12,0.2,2.5,0.012241,0.030988,0.020667,0.030051,yes,171833,0.9150,0.5467,1000000,no,,,0.3773,0.1876,0.6255,0.4919,0.2919,0.8434,0.0943,-6.83,0.6867
GPT-5.6 Terra (max),gpt-5-6-terra,OpenAI,us,2026-07-09,yes,56.58,76.66,50.20,0.5080,1389.66,2,12,0.2,2.5,0.013771,0.162824,0.081373,0.250050,yes,874395,0.9538,0.5810,1000000,no,,openai/gpt-5.6-terra,0.5382,0.4021,0.8801,0.5394,0.4291,0.9253,0.3000,0.05,0.7967
GPT-5.6 Terra (medium),gpt-5-6-terra-medium,OpenAI,us,2026-07-09,yes,46.76,64.74,39.10,0.1190,192.06,2,12,0.2,2.5,0.012259,0.029713,0.027332,0.049720,yes,169772,0.8970,0.7011,1000000,no,,,0.4525,0.2557,0.7228,0.4965,0.3327,0.8717,0.1743,-5.13,0.7033
GPT-5.6 Terra (xhigh),gpt-5-6-terra-xhigh,OpenAI,us,2026-07-09,yes,52.77,70.64,46.49,0.3050,589.65,2,12,0.2,2.5,0.012314,0.091761,0.055669,0.145278,yes,499334,0.9417,0.6109,1000000,no,,,0.5362,0.2969,0.8015,0.5162,0.4189,0.9081,0.2714,-2.98,0.7500
Gemini 3.7 Flash (high),gemini-3-7-flash,Google,us,2026-08-13,yes,56.03,76.12,45.10,0.4022,484.73,0.75,3.75,0.075,0.75,0.005221,0.098386,0.160382,0.138176,yes,1569470,0.8559,0.2562,1000000,no,,google/gemini-3.7-flash,0.5158,0.3278,0.8577,0.5683,0.4787,0.9455,0.1429,26.48,0.8000
Gemini 3.7 Flash (low),gemini-3-7-flash-low,Google,us,2026-08-13,yes,50.94,71.05,41.57,0.1648,165.16,0.75,3.75,0.075,0.75,0.005189,0.038507,0.068822,0.052332,yes,626060,0.8388,0.2633,1000000,no,,,0.4761,0.2948,0.7978,0.5359,0.3513,0.9010,0.0571,22.13,0.7833
Gemini 3.7 Flash (medium),gemini-3-7-flash-medium,Google,us,2026-08-13,yes,53.42,71.47,45.10,0.2629,277.50,0.75,3.75,0.075,0.75,0.005186,0.062098,0.108202,0.087417,yes,1002469,0.8456,0.2623,1000000,no,,,0.4991,0.3546,0.7828,0.5787,0.3897,0.9212,0.0943,23.70,0.8100
Gemma 4 31B (Non-reasoning),gemma-4-31b-non-reasoning,Google,us,2026-04-02,no,22.25,33.17,11.10,0.0438,33.84,0.15,0.4,0.14,,0.001034,0.000000,0.040845,0.001872,no,,,,256000,yes,Apache 2.0,google/gemma-4-31b-it,0.1237,0.0887,0.2921,0.4109,0.1182,0.7626,0.0000,-51.68,0.4267
Gemma 4 31B (Reasoning),gemma-4-31b,Google,us,2026-04-02,yes,29.69,43.43,14.38,0.0000,0.00,0,0,,,0.000000,0.000000,0.000000,0.000000,yes,,,,256000,yes,Apache 2.0,google/gemma-4-31b-it,0.1553,0.1485,0.4345,0.4340,0.2363,0.8566,0.0143,-47.93,0.6833
Grok 4.5 (high),grok-4-5,SpaceXAI,us,2026-07-08,yes,55.76,72.45,48.85,0.3601,579.21,2,6,0.3,,0.012243,0.112232,0.146841,0.088771,yes,468442,0.8247,0.7687,500000,no,,x-ai/grok-4.5,0.5122,0.4206,0.8165,0.5405,0.4268,0.9313,0.1543,25.32,0.7400
Grok 4.6 (high),grok-4-6,SpaceXAI,us,2026-08-12,yes,60.92,76.79,58.68,0.8367,1068.47,2,6,0.5,,0.012206,0.403577,0.290480,0.130408,yes,980231,0.8421,0.8535,500000,no,,x-ai/grok-4.6,0.6237,0.5072,0.8839,0.5359,0.4291,0.9495,0.1714,30.48,0.7500
Grok 4.6 (low),grok-4-6-low,SpaceXAI,us,2026-08-12,yes,51.68,66.31,47.84,0.2207,234.36,2,6,0.5,,0.012381,0.089308,0.085620,0.033399,yes,233183,0.7847,0.9465,500000,no,,x-ai/grok-4.6,0.5268,0.3814,0.7528,0.4838,0.2762,0.8788,0.0571,25.90,0.7867
Grok 4.6 (medium),grok-4-6-medium,SpaceXAI,us,2026-08-12,yes,59.01,74.39,56.32,0.6679,831.72,2,6,0.5,,0.012401,0.303687,0.249257,0.102526,yes,755291,0.8228,0.8843,500000,no,,x-ai/grok-4.6,0.6214,0.4433,0.8427,0.5463,0.4212,0.9354,0.1771,28.00,0.7267
Grok 4.6 (xhigh),grok-4-6-xhigh,SpaceXAI,us,2026-08-12,yes,60.01,75.88,56.56,1.0412,1260.51,2,6,0.5,,0.012398,0.499679,0.386116,0.142980,yes,1222445,0.8338,0.8517,500000,no,,x-ai/grok-4.6,0.6329,0.4330,0.8801,0.5162,0.4407,0.9354,0.1971,29.32,0.7567
Kimi K3 (low),kimi-k3-low,Kimi,cn,2026-07-16,yes,48.25,71.98,39.58,0.2419,282.64,3,15,0.3,,0.018359,0.068293,0.092306,0.062960,yes,268729,0.8606,0.9002,1048576,yes,Kimi K3,moonshotai/kimi-k3,0.3849,0.4165,0.8240,0.5116,0.2498,0.8424,0.0314,3.92,0.7700
Kimi K3 (max),kimi-k3,Kimi,cn,2026-07-16,yes,59.70,76.24,54.26,0.8375,2425.11,3,15,0.3,,0.018801,0.252266,0.184275,0.382115,yes,934054,0.9255,0.8966,1048576,yes,Kimi K3 License,moonshotai/kimi-k3,0.5891,0.4598,0.8502,0.5868,0.4690,0.9354,0.2343,19.70,0.8267
MiMo-V2.5,mimo-v2-5-0424,Xiaomi,cn,2026-04-22,yes,38.04,56.80,24.40,0.0104,25.18,0.14,0.28,0.0028,,0.001010,0.001131,0.003296,0.004922,yes,452355,0.9293,0.0229,1000000,yes,Mit,xiaomi/mimo-v2.5,0.3252,0.0866,0.6367,0.4306,0.2720,0.8495,0.0371,-9.83,0.6833
MiniMax-M3,minimax-m3,MiniMax,cn,2026-06-01,yes,45.40,58.57,36.12,0.1387,204.82,0.3,1.2,0.06,0.375,0.002337,0.079413,0.026641,0.030320,yes,1427640,0.9438,0.0972,1000000,yes,MINIMAX COMMUNITY LICENSE,minimax/minimax-m3,0.4435,0.1526,0.6517,0.4537,0.3897,0.9293,0.0371,1.35,0.8033
Muse Spark 1.2 (xhigh),muse-spark-1-2,Meta,us,2026-08-05,yes,56.76,72.22,49.31,0.3992,639.27,1.25,4.25,0.15,,0.007970,0.163350,0.098552,0.129328,yes,1204651,0.9274,0.3314,1048576,no,,meta/muse-spark-1.2,0.5640,0.3485,0.8015,0.5637,0.4546,0.9040,0.1771,27.20,0.8333
Qwen3.8 Max,qwen3-8-max,Alibaba,cn,2026-08-03,yes,58.08,71.81,58.40,1.1320,1741.41,2,6,0.25,,0.014157,0.347266,0.540891,0.229725,yes,1704874,0.8335,0.6640,1000000,no,,qwen/qwen3.8-max,0.6176,0.5134,0.8127,0.5289,0.4305,0.9273,0.2000,3.40,0.7433
gpt-oss-120b (high),gpt-oss-120b,OpenAI,us,2025-08-05,yes,24.13,30.44,13.43,0.0727,95.05,0.15,0.6,0.15,,0.000939,0.000000,0.049655,0.022131,no,,,,131072,yes,Apache 2.0,openai/gpt-oss-120b,0.1505,0.1278,0.2622,0.3889,0.1960,0.7818,0.0114,-49.25,0.5100
gpt-oss-120b (low),gpt-oss-120b-low,OpenAI,us,2025-08-05,yes,14.93,21.24,0.96,0.0202,24.16,0.15,0.595,0.15,,0.000925,0.000000,0.017631,0.001643,no,,,,131072,yes,Apache 2.0,openai/gpt-oss-120b,0.0000,0.0289,0.1386,0.3600,0.0589,0.6717,0.0000,-53.50,0.4600
